AL_TCDD_Bl_adt_F_logFC	AL_TCDD_Li_adt_F_logFC	BA_BPA10mg_Bl_adt_F_logFC	BA_BPA10mg_Li_adt_F_logFC	BA_BPA10ug_Bl_adt_F_logFC	BA_BPA10ug_Li_adt_F_logFC	BI_PM2.5_Bl_adt_F_logFC	BI_PM2.5_Li_adt_F_logFC	DO_DEHP_Bl_adt_F_logFC	DO_DEHP_Li_adt_F_logFC	DO_Pb_Bl_adt_F_logFC	DO_Pb_Li_adt_F_logFC	MU_PM2.5_Bl_adt_F_logFC	MU_PM2.5_Li_adt_F_logFC	WK_TBT_Bl_adt_F_logFC	WK_TBT_Li_adt_F_logFC	Type
chr4,149702524,149703063	0	0	0	0	0	0	0	0	0	0	0	0	-0.587241132116492	-0.633369521542661	0	0	MU_PM2.5_F_adt
chr19,40708094,40708538	0	0	0	0	0	0	0	0	0	0	0	0	-0.725132827524805	-0.608141996506981	0	0	MU_PM2.5_F_adt
chr6,87541048,87541498	0	0	0	0	0	0	0	0	0	0	0	0	-0.722814618901949	-0.604079835116101	0	0	MU_PM2.5_F_adt
chr19,4302295,4302589	0	0	0	0.585338172756785	0	0	0	0	0	0	0	0	-0.633875100307551	-0.606881341672512	0	0	MU_PM2.5_F_adt
chr11,120142426,120143087	0	0	0	0	0	0	0	0	0	0	0	0	-0.828885996820172	-0.630881492890703	0	0	MU_PM2.5_F_adt
chr7,19269741,19270028	0	0	0	0	0	0	0	0	0	0	0	0	-0.908130623303069	-0.587156838372837	0	0	MU_PM2.5_F_adt
chr13,60897295,60897807	0	0	0	0	0	0	0	0	0	0	0	0	-0.686982926286022	-0.61569268233577	0	0	MU_PM2.5_F_adt
chr18,65695428,65695691	0	0	0	0	0	0	0	0	0	0	0	0	-0.667000228396531	-0.687782447329672	0	0	MU_PM2.5_F_adt
chr12,3799619,3799970	0	0	0	0	0	0	0	0	0	0	0	0	-0.724791314921308	-0.654625887883328	0	0	MU_PM2.5_F_adt
chr2,166650428,166650799	0	0	0	0	0	0	0	0	0	0	0	0	-0.62734309753381	-0.600586075900622	0	0	MU_PM2.5_F_adt
chr7,123322418,123322801	0	0	0	0	0	0	0	0	0	0	0	0	-0.794988988023252	-0.640362728313579	0	0	MU_PM2.5_F_adt
chr2,167960079,167960298	0	0	0	0	0	0	0	0	0	0	0	0	-0.758429890025391	-0.676834107943482	0	0	MU_PM2.5_F_adt
chr5,149235077,149235428	0	0	0	0	0	0	0	0	0	0	0	0	-0.679659932738422	-0.630897749165525	0	0	MU_PM2.5_F_adt
chr9,27109482,27109876	0	0	0	0	0	0	0	0	0	0	0	0	-1.16924779136147	-0.635575691117832	0	0	MU_PM2.5_F_adt
chr7,132802172,132802407	0	0	0	0.686161476229279	0	0	0	0	0	0	0	0	-0.736418323884521	-0.630545460856621	0	0	MU_PM2.5_F_adt
chr7,16207475,16207880	0.956198079101064	0	0	0	0	0	0	0	0	0	0	0	-0.975115756208416	-0.725330038008027	0	0	MU_PM2.5_F_adt
chr2,31052487,31052819	0.873738518873578	0	0.813941903146434	0	0	0	0	0	0	0	0	0	-1.23466689496635	-0.589446426892312	0.592964437531085	0	MU_PM2.5_F_adt
chr19,44899212,44899756	0	0	0	0.650046014045482	0	0	0	0	0	0	0	0	-1.39804920149547	-0.719572524627684	0	0	MU_PM2.5_F_adt
chr19,25138077,25138818	0	0	0.682581131335332	0	0	0	0	0	0	0	0	0	-1.46608035821994	-0.693905150270278	0	0	MU_PM2.5_F_adt
chr4,132563854,132564322	0	0	0.617528368426907	0	0	0	0	0	0	0	0	0	-1.31030797603984	-0.667441321451505	0	0	MU_PM2.5_F_adt
chr12,8521275,8521858	0	0	0	0	0	0	0	0	0	0	0	0	-1.27353224444792	-0.589826767449832	0	0	MU_PM2.5_F_adt
chr18,37999397,37999745	0	0	0	0.588386526456078	0	0	0	0	0	0	0	0	-1.52773816967828	-0.598769050310576	0	0	MU_PM2.5_F_adt
chr10,87675083,87675337.2	0	0	1.16982981016396	0.675573815901062	0.871996427129457	0.641817119029795	0	0	0	0	0	0	-0.704771134503492	-0.689055958512002	0.697371581751699	0	MU_PM2.5_F_adt
chr5,138683014,138683385.1	0	0	0.890020651431148	0.609762847566831	0.818711256779561	0	0	0	0	0	0	0	-0.810505048893367	-0.706286038987276	0	0	MU_PM2.5_F_adt
chr19,17275844,17276327	0	0	0.67322365825635	0	0.628746108366421	0	0	0	0	0	0	0	-1.26984100625837	-0.868149865279921	0	0	MU_PM2.5_F_adt
chr13,100183159,100183472	0	0	0	0	0	0	0	0	0	0	0	0	-0.985797629255339	-0.585524455359117	0	0	MU_PM2.5_F_adt
chr9,109914293,109914583	0	0	0.780243491581956	0	0	0	0	0	0	0	0	0	-1.1430203243015	-0.605520307648294	0	0	MU_PM2.5_F_adt
chr14,31166085,31166551	0	0	1.30496824158675	0	0.688054171439234	0	0	0	0	0	0	0	-1.15371159776377	-0.590377341889767	0	0	MU_PM2.5_F_adt
chr9,66886844,66887156	0	0	1.18471348898108	0	0	0	0	0	0	0	0	0	-1.04614169677961	-0.61352417795809	0	0	MU_PM2.5_F_adt
chr11,117991758,117992095	0	0	0.910893972631774	0	0	0	0	0	0	0	0	0	-1.45921594169684	-0.612681149998896	0	0	MU_PM2.5_F_adt
chr11,71251342,71251767	0	0	1.21840338275239	0	0.6244574869464	0	0	0	0	0	0	0	-1.25516440617462	-0.694517667231617	0	0	MU_PM2.5_F_adt
chr11,68871794,68872137.1	0	0	1.00728421686618	0.600453720173402	0	0.609713060142451	0	0	0	0	0	0	-1.72667346313687	-0.591922915939125	0	0	MU_PM2.5_F_adt
chr2,102944040,102944443	0	0	0.943350395802748	0	0.601804532163499	0	0	0	0	0	0	0	-1.28117206903447	-0.744974346340173	0	0	MU_PM2.5_F_adt
chr8,121792133,121792545	0	0	0.970784786187062	0	0	0	0	0	0	0	0	0	-1.51648512069079	-0.589271971923376	0	0	MU_PM2.5_F_adt
chr6,123123132,123123548	0	0	0.862025048239126	0	0	0	0	0	0	0	0	0	-0.619150698454895	-0.591922160411899	0.685949051124052	0	MU_PM2.5_F_adt
chr11,77442573,77443073	0	0	0	0	0	0	0	0	0	0	0	0	-0.757791442927297	-0.621974320362409	0.70832169363815	0	MU_PM2.5_F_adt
chr5,100656277,100656757	0	0	0	0	0	0	0	0	0	0	0	0	-0.732463872995802	-0.645145872727933	0	0	MU_PM2.5_F_adt
chr1,159186828,159187257	0	0	0.859040544849499	0	0	0	0	0	0	0	0	0	-0.9472691137454	-0.722708120476634	0	0	MU_PM2.5_F_adt
chr14,73122555,73123078	0	0	0	0	0	0	0	0	0	0	0	0	-0.949806656891963	-0.602731958011904	0	-0.58827497688582	MU_PM2.5_F_adt
chr10,59265693,59265988	0	0	0.643970889868092	0	0.698146859469986	0	0	0	0	0	0	0	-0.716638365266265	-0.617666074588579	0	0	MU_PM2.5_F_adt
chr6,82763912,82764539	0	0	0	0	0	0	0	0	0	0	0	0	-0.768504990162981	-0.589570915075341	0	0	MU_PM2.5_F_adt
chr12,31996862,31997229	0	0	0	0	0	0	0	0	0	0	0	0	-0.942647791062305	-0.647312132264737	0	0	MU_PM2.5_F_adt
chr11,117109578,117109975	0	0	0	0	0	0	0	0	0	0	0	0	-0.964916892828676	-0.619530508563489	0	0	MU_PM2.5_F_adt
chr1,155050193,155050646	0	0	0	0	0	0	0	0	0	0	0	0	-0.987940872271914	-0.613118364266037	0	0	MU_PM2.5_F_adt
chr13,105310614,105310955	0	0	0.87154332362353	0	0	0	0	0	0	0	0	0	-0.874444024687836	-0.742839410561753	0	0	MU_PM2.5_F_adt
chr19,18582951,18583224	0	0	0	0	0	0	0	0	0	0	0	0	-0.784698177029842	-0.761700238232319	0	0	MU_PM2.5_F_adt
chr7,28442735,28443077	0	0	0.659623566177541	0	0	0	0	0	0	0	0	0	-0.773228604740156	-0.831503177291583	0	0	MU_PM2.5_F_adt
chr9,40581783,40582281	0	0	0	0	0	0	0	0	0	0	0	0	-0.589159734639414	-0.915210235333363	0	0	MU_PM2.5_F_adt
chr15,59728908,59729185	0	0	0.923165346285341	0	0	0	0	0	0	0	0	0	-0.824432949600779	-0.621856058360765	0	0	MU_PM2.5_F_adt
chr13,41467165,41467451	0	0	0.720992454622359	0	0	0	0	0	0	0	0	0	-0.610159551983082	-0.642837365679211	0	0	MU_PM2.5_F_adt
chr9,21167697,21167965	0	0	0	0	0	0	0	0	0	0	0	0	-0.70353748506413	-0.759381222434232	0	0	MU_PM2.5_F_adt
chr10,21890309,21890687	0	0	0	0	0	0	0	0	0	0	0	0	-1.05656576195886	-0.663336228535756	0.648033332489858	-0.632997097344243	MU_PM2.5_F_adt
chr15,66746403,66746796	0	0	0	0	0	0	0	0	0	0	0	0	-1.47022790651154	-0.594343972000831	0.992345300308729	-0.646349778832526	MU_PM2.5_F_adt
chr11,59526644,59527005	0	0	0	0.717589397441983	0	0.676371314571779	0	0	0	0	0	0	-0.708059144857138	-0.658274375733508	0	0	MU_PM2.5_F_adt
chr5,113672441,113672798	0	0	0	0.62030911678657	0	0.714144030021182	0	0	0	0	0	0	-0.700318729442514	-0.612049382370745	0	0	MU_PM2.5_F_adt
chr2,73463641,73464135	0	0	0	0	0	0	0	0	0	0	0	0	-0.805207272236283	-0.620004765000479	0	0	MU_PM2.5_F_adt
chr5,140617696,140618283	0	0	0	0	0	0	0	0	0	0	0	0	-0.759685538392147	-0.603749795285048	0	0	MU_PM2.5_F_adt
chr5,145116395,145116703	0	0	0	0.658682773551299	0	0	0	0	0	0	0	0	-0.714240192238794	-0.687297401970337	0	0	MU_PM2.5_F_adt
chr8,120563750,120564504	0	0	0	0	0	0	0	0	0	0	0	0	-0.777432022694207	-0.702345510275987	0	0	MU_PM2.5_F_adt
chr9,61702335,61702944	0	0	0	0	0	0	0	0	0	0	0	0	-0.68406313815826	-0.597873533308807	0	0	MU_PM2.5_F_adt
