AL_TCDD_Bl_adt_M_logFC	AL_TCDD_Li_adt_M_logFC	BA_BPA10mg_Bl_adt_M_logFC	BA_BPA10mg_Li_adt_M_logFC	BA_BPA10ug_Bl_adt_M_logFC	BA_BPA10ug_Li_adt_M_logFC	BI_PM2.5_Bl_adt_M_logFC	BI_PM2.5_Li_adt_M_logFC	DO_DEHP_Bl_adt_M_logFC	DO_DEHP_Li_adt_M_logFC	DO_Pb_Bl_adt_M_logFC	DO_Pb_Li_adt_M_logFC	MU_PM2.5_Bl_adt_M_logFC	MU_PM2.5_Li_adt_M_logFC	WK_TBT_Bl_adt_M_logFC	WK_TBT_Li_adt_M_logFC
chr1,58727054,58727394	0	0	-0.60751249723166	-0.746341462320078	0	-0.816242669016579	-0.608135853217739	0	0	0	0	0	0	0	0	0
chr5,99214506,99214896	0	0	-0.867507339336836	-0.663096323723331	-0.613433250940231	-0.676921624416487	-0.677946006449168	0	0	0	0	0	0	0	0	0
chr6,141069948,141070224	0	0	-1.15732801535474	-0.670311972762408	0	0	-0.773673423579407	0	0	0	0	0	0	0	0	0
chr1,105787023,105787318	0	0	-0.964113092220037	-0.598584889731667	0	-0.847453799515179	-1.05395651122952	0	0	0	0	0	0	0	0	0
chr16,95839024,95839368	0	0	-0.848331380579364	-0.597925816909784	0	-0.684558141434233	0	0	0	0	0	0	0	0	0	0
chr9,47733802,47734500	0	0	-0.638765070253325	-0.646059787881875	0	-0.781244494222614	0	0	0	0	0	0	0	0	0	0
chr8,113656160,113656504	0	0	-0.691663883341111	-0.693940831457983	0	-0.698326825067139	0	0	0	0	0	0	0	0	0	0
chr4,8853948,8854461	0	0	-0.602307741109878	-0.697993724538368	0	0	0	0	0	0	0	0	0	0	0	0
chr13,99337471,99337935	0	0	-0.717694805744083	-0.711921149481646	0	-0.817870838993899	0	0	0	0	0	0	0	0	0	0
chr6,125367692,125368119	0	0	-0.685011846638858	-0.733889635753916	0	-0.788381865037794	0	0	0	0	0	0	0	0	0	0
chr11,114890097,114890582	0	0	-0.719144176677223	-0.870251209385656	0	-0.74608160969346	0	0	0	0	0	0	0	0	0	0
chr3,27218644,27218945	0	0	-0.763203176951	-0.827361986093119	0	-0.893793210897163	0	0	0	0	0	0	0	0	0	0
chr11,71285231,71285530	0	0	-0.750420761959098	-0.766478832406286	0	0	-0.727253184847563	0	0	0	0	0	0	0	0	0
chr4,122892190,122892513	0	0	-0.609803941086784	-0.774522148968823	0	-0.803410475004807	0	0	0	0	0	0	0	0	0	0
chr12,91719132,91719451	0	0	-0.738647265031553	-0.958701416585468	0	0	-0.901755067136722	0	0	0	0	0	0	0	0	0
chr5,102033358,102033603	0	0	-0.84475950927463	-0.877551971906963	0	-0.668278238472029	-0.815349842895757	0	0	0	0	0	0	0	0	0
chr11,119925218,119925570	0	0	-0.616973501394019	-1.01230619936598	-0.59363926467701	-1.01498747086878	-0.916480780626504	0	0	0	0	0	0	0	0	0
chr2,129380573,129381331	0	0	-0.667410799808058	-1.04217104471126	0	-0.809666995744797	-0.770825328958449	0	0	0	0	0	0	0	0	0
chr10,84338775,84339102	0	0	-0.678162180702425	-0.917249169790637	0	-0.816203827868522	-0.782065095282473	0	0	0	0	0	0	0	0	0
chr1,180250090,180250392	0	0	-0.705305175920956	-0.868732231255776	0	-0.910664559145281	0	0	0	0	0	0	0	0	0	0
chr10,37195064,37195356	0	0	-0.724464214309968	-0.833754865703207	0	0	0	0	0	0	0	0	0	0	0	0
chr10,37191952,37192582	0	0	-0.623488216152931	-0.821320957406497	0	-0.758535844278418	0	0	0	0	0	0	0	0	0	-0.930845021900499
chr14,72581062,72581407	0	0	-0.593687153977916	-0.815865547994214	0	-0.728921080469407	0	0	0	0	0	0	0	0	0	0
chr10,44691598,44692202	0	0	-0.716264793957469	-0.750286832195304	0	-0.74465932320433	0	0	0	0	0	0	0	0	0	0
chr9,32475012,32475351	0	0	-0.612742114180542	-0.701626217290134	0	-0.845450747199628	0	0	0	0	0	0	0	0	0	0
chr1,182504303,182504511	0	0	-0.588590145837952	-0.880148105576457	0	-0.759430374905039	0	0	0	0	0	0	0	0	0	0
chr12,111007672,111008074	0	0	-0.704849793575093	-1.03967997664111	0	0	0	0	0	0	0	0	0	0	0	0
chr9,111046242,111046568	0	0	-0.613754401979763	-0.901813312441545	0	-0.844490740701338	0	0	0	0	0	0	0	0	0	0
chr17,80112682,80113229	0	0	-0.707839632062291	-0.678902000337238	0	0	0	0	0	0	0	0	0	0	0	0
chr12,8519514,8519759	0	0	-0.722816289912256	-0.714628776291179	0	0	0	0	0	0	0	0	0	0	0	0
chr5,9015400,9015736	0	0	-0.683967701771798	-0.915887284701769	-0.657782019700734	-0.72014728179236	0	0	0	0	0	0	0	0	0	0
chr7,16002235,16002597	0	0	-0.909771197715721	-0.610111378123465	0	-0.653200741680977	0	0	0	0	0	0	0	0	0	0
chr9,35050018,35050423	0	0	-0.849298262525993	-0.822599313396196	0	-0.658866055878131	0	0	0	0	0	0	0	0	0	0
chr5,88981585,88982058	0	0	-0.696177676616457	-0.75444434798463	0	-0.881930074428197	0	0	0	0	0	0	0	0	0	0
chr9,106308612,106308917	0	0	-0.602813931041498	-0.609582596742208	0	-0.771795843933004	0	0	0	0	0	0	0	0	0	0
chr16,43448521,43448886	0	0	-0.791336556842671	-0.674225770298792	0	-0.819476703186845	0	0	0	0	0	0	0	0	0	0
chr5,113872986,113873270	0	0	-0.640346245990286	-0.792769513536659	0	-0.80845587684551	0	0	0	0	0	0	0	0	0	0
chr2,145812790,145813312	0	0	-0.783389352438018	-0.788290372464904	0	-1.04219514821598	0	0	0	0	0	0	0	0	0	0
chr2,75763247,75763677	0	0	-0.655805219163758	-0.835633546279568	0	-0.827540774962398	0	0	0	0	0	0	0	0	0	0
chr8,84207839,84208120	0	0	-0.587522957650022	-0.835643525722539	0	-0.893857607684706	0	0	0	0	0	0	0	0	0	0
chr4,145270150,145270509	0	0	-0.788288050439775	-0.969364874120186	0	-0.931441218453692	0	0	0	0	0	0	0	0	0	0
chr10,98880136,98880435	0	0	-0.720789556978402	-0.827289694236177	0	-0.979008710592606	0	0	0	0	0	0	0	0	0	0
chr17,47225336,47225925	0	0	-0.672080728093474	-0.775753908617384	0	-0.957068708996999	0	0	0	0	0	0	0	0	0	0
chr1,64301445,64302030	0	0	-0.689224459613406	-0.65543363315321	0	-0.798112476438432	0	0	0	0	0	0	0	0	0	0
chr17,70832587,70832940	0	0	-0.824715209273592	-0.670473512193536	0	-0.724438599843307	0	0	0	0	0	0	0	0	0	0
chr9,27109482,27109876	0	0	-0.780662667290696	-0.960612588984604	0	-0.966528955450424	0	0	0	0	0	0	0	0	0	0
chr2,128364261,128364545	0	0	-0.610090695578491	-0.812086085106275	0	-0.764157945624794	0	0	0	0	0	0	0	0	0	0
chr11,86577259,86577553	0	0	-0.628402993825056	-0.754600246721511	0	-0.701360621364937	0	0	0	0	0	0	0	0	0	0
chr13,12411989,12412512	0	0	-0.894709485794399	-0.854688314709817	0	-0.830912055819924	0	0	0	0	0	0	0	0	0	0
chr13,113423887,113424147	0	0	-0.642548951133206	-0.825994869269167	0	-0.928536641254328	0	0	0	0	0	0	0	0	0	0
chr10,99467282,99467921	0	0	-0.816307162288968	-0.908721629951025	0	-0.850734328931244	0	0	0	0	0	0	0	0	0	0
chr14,102835195,102835715	0	0	-1.00651598091473	-0.920929774322099	0	-0.916910130603157	0	0	0	0	0	0	0	0	0	0
chr16,21289673,21289964	0	0	-0.673006483138765	-0.608874172520771	0	-0.805613268838264	0	0	0	0	0	0	0	0	0	0
chr2,165332669,165333060	0	0	-0.606908734987357	-0.851723226568796	0	-1.2488373780142	0	0	0	0	0	0	0	0	0	0
chr14,61309628,61309929	0	0	-0.858060550330739	-0.804278722295932	0	-0.775979461640523	0	0	0	0	0	0	0	0	0	0
chr8,115618423,115618692	0	0	-0.676779099928457	-0.676453427676779	0	-0.76731051230479	0	0	0	0	0	0	0	0	0	0
chr1,170795815,170796174	0	0	-0.654193050366416	-0.65706329520881	0	-0.645054853069565	0	0	0	0	0	0	0	0	0	0
chr13,49196871,49197173	0	0	-0.622566956458704	-0.648349326424972	0	0	0	0	0	0	0	0	0	0	0	0
chr17,48263767,48264356	0	0	-0.898147721124908	-0.923905145472765	0	-0.784092035483972	0	0	0	0	0	0	0	0	0	0
chr17,87246791,87247291	0	0	-0.827841428820075	-0.884712486048032	0	-0.676421477154061	0	0	0	0	0	0	0	0	0	0
chr18,46458229,46458634	0	0	-0.782428375531566	-0.751486252518883	0	-0.655169503187044	0	0	0	0	0	0	0	0	0	0
chr5,17854576,17854943	0	0	-0.985712600304279	-0.602349506540032	0	0	0	0	0	0	0	0	0	0	0	0
chr14,40919546,40919870	0	0	-0.72273450942924	-0.69350515159907	0	-0.610503180323721	0	0	0	0	0	0	0	0	0	0
chr5,115535741,115535987	0	0	-0.945141018119254	-0.739897294171669	0	0	0	0	0	0	0	0	0	0	0	0
chr15,27709122,27709553	0	0	-0.596991832738019	-0.728297370656559	0	-0.734071271522785	0	0	0	0	0	0	0	0	0	0
chr3,69560012,69560286	0	0	-0.69111888511352	-0.839551461494808	0	-0.746482169143695	0	0	0	0	0	0	0	0	0	0
chr13,100247011,100247450	0	0	-0.615071084631151	-0.742801542777165	0	-0.828291226383067	0	0	0	0	0	0	0	0	0	0
chr3,55652198,55652766	0	0	-0.692978094882738	-0.660004623971479	0	-0.810183755711097	0	-0.74172939942447	0	0	0	0	0	0	0	0
chr14,32785777,32786087	0	0	-0.602721265115508	-0.587610650098729	0	-0.968927524551918	0	0	0	0	0	0	0	0	0	0
chr15,103310456,103310779	0	0	-0.622319459695815	-0.643583509274937	0	-0.763041073101216	0	0	0	0	0	0	0	0	0	0
chr4,63151024,63151310	0	0	-1.21757791542902	-0.708413690362067	0	0	0	0	0	0	0	0	0	0	-0.840507661616744	0
chr5,32192089,32192621	0	0	-0.936395226070235	-0.88498128966337	0	0	-1.17671243399011	0	0	0	0	0	0	0	-0.852678547658496	0
chr9,70812632,70812923	0	0	-1.01716062344893	-0.624043810412905	0	0	-1.24781687391605	0	0	0	0	0	0	0	0	0
chr7,43533024,43533362	0	0	-0.738291364048597	-0.672666463333428	0	0	-1.57248843302762	0	0	0	0	0	0	0	0	0
chr11,114907612,114908036	0	0	-0.649517573515168	-0.686197239603415	0	-0.657975161569531	-1.23214110523261	0	0	0	0	0	0	0	0	0
chr3,83885127,83885539	0	0	-0.748980922928001	-0.622892519339298	0	-0.719701955616244	-1.45310154995509	0	0	0	0	0	0	0	0	0
chr5,90881665,90882067	0	0	-0.648027170266121	-0.740882845417209	0	0	-1.81022435813109	0	0	0	0	0	0	0	-0.59592400095273	-0.679531054452641
chr2,90542646,90543043	0	0	-0.603017743534971	-0.626263679296535	0	0	-1.23585281116373	0	0	0	0	0	0	0	0	-0.682232430518296
chr1,171558799,171559318	0	0	-0.769716878038572	-0.59721442491389	0	0	-1.18902022622922	0	0	0	0	0	0	0	0	-0.93380338989627
chr6,125445316,125445742	0	0	-0.778003723388938	-0.667082854526912	0	0	-0.957012209085932	0	0	0	0	0	0	0	0	-0.744947012658301
chr18,62224769,62225261	0	0	-0.702580558265327	-0.659072661787218	0	-0.914700450563585	-1.02526416157746	0	0	0	0	0	0	0	0	0
chr5,21131956,21132265	0	0	-0.764048592914097	-0.911188749790507	0	-0.706945678120191	-1.25395635349689	0	0	0	0	0	0	0	0	0
chr9,14835380,14835713	0	0	-0.856215378725685	-0.727577438403467	0	-0.608836736684104	-1.02651911238713	0	0	0	0	0	0	0	0	0
chr11,4232578,4233032	0	0	-0.811331019017513	-0.741383502092815	0	-0.611686563870817	-1.21463904997387	0	0	0	0	0	0	0	0	0
chr7,116446756,116447030	0	0	-0.721613109185454	-0.620044272201	0	-0.83506480474059	-0.951793552651359	0	0	0	0	0	0	0	0	0
chr4,6335648,6335935	0	0	-1.20935000791275	-0.641377343571781	0	-0.823678964769964	-0.969448098011268	0	0	0	0	0	0	0	0	0
chr7,16254271,16254676	0	0	-0.933383496696973	-0.906715173244663	0	-0.962174602007452	0	0	0	0	0	0	0	0	0	0
chr13,113486498,113486826	0	0	-1.05721529188553	-0.767570977106344	0	-0.731926163055195	-0.997103494287643	0	0	0	0	0	0	0	-0.608877431031078	0
chr8,104333862,104334444	0	0	-1.11808962983496	-0.799108102186477	0	-0.684622220364923	0	0	0	0	0	0	0	0	0	0
chr2,156850506,156850910	0	0	-0.960361778496334	-0.678390528245909	0	-0.593383731724443	-1.28330135460885	0	0	0	0	0	0	0	-0.633986107440123	0
chr2,72366570,72366877	0	0	-0.878553653963248	-0.636789960416665	0	-0.807016526492186	-1.23520438570838	0	0	0	0	0	0	0	0	0
chr14,70395054,70395423	0	0	-1.02655731446569	-0.618568507787972	0	0	-1.41325433330521	0	0	0	0	0	0	0	0	0
chr3,94587970,94588337	0	0	-1.09259149050945	-0.607745908370895	0	-0.93110921773233	-1.4405547126397	0	0	0	0	0	0	0	0	0
chr9,105458971,105459358	0	0	-0.764980306637859	-0.670784939401943	0	-0.717864757302742	-1.41998780304296	0	0	0	0	0	0	0	0	0
chr11,74648012,74648266	0	0	-0.993196227402474	-0.745005066695428	0	-0.847520146320152	-1.17524147034027	0	0	0	0	0	0	0	0	0
chr1,134420145,134420483	0	0	-0.794125516117769	-0.770840709977552	0	-0.867953750117084	-1.29090250033036	0	0	0	0	0	0	0	0	0
chr14,31392868,31393184	0	0	-0.716045135628441	-0.828534881425514	0	-0.898171748540472	-1.38614325593899	0	0	0	0	0	0	0	0	0
chr15,78607561,78607947	0	0	-0.7001533346617	-0.789165672323986	0	-0.733511213436274	-1.18798713766625	0	0	0	0	0	0	0	0	0
chr18,53266387,53266690	0	0	-0.715054096922944	-0.847692360859589	0	-1.18293601139679	-1.09924275395183	0	0	0	0	0	0	0	0	0
chr19,21127356,21127790	0	0	-0.842845454497376	-1.00754239014981	0	-1.14247566168873	-1.05992486380994	0	0	0	0	0	0	0	0	0
chr13,52636200,52636638	0	0	-0.660091804098276	-1.02137148914049	0	-1.1050355203	-1.22020626936154	0	0	0	0	0	0	0	0	0
chr11,59542425,59542793	0	0	-0.826025239802411	-1.08405886832485	0	-0.948850315518523	-1.20838584446997	0	0	0	0	0	0	0	0	0
chr9,56108204,56108522	0	0	-0.67267899686069	-0.952676286633309	0	-0.840950510205595	-1.17997817250043	0	0	0	0	0	0	0	0	0
chr19,25138077,25138818	0	0	-0.762952916216176	-0.858017149807734	0	-0.861825928017372	-1.55880258785753	0	0	0	0	0	0	0	-0.621406006550814	0
chr17,26533782,26534185	0	0	-0.787280664671032	-0.729554593493719	0	-1.00647216566044	-1.4598778085644	0	0	0	0	0	0	0	0	0
chr17,48247457,48247894	0	0	-0.74990187510052	-0.746556600898586	0	0	-1.46583396428452	0	0	0	0	0	0	0	0	0
chr13,113485538,113485884	0	0	-0.621637740123707	-0.671204854471389	0	-1.06740009502982	-1.40563418245437	0	0	0	0	0	0	0	0	0
chr4,149155721,149156155	0	0	-0.602884439257438	-0.611178046330293	0	-0.808668614096006	-1.53054001727793	0	0	0	0	0	0	0	0	0
chr1,92972029,92972639	0	0	-0.765402537923416	-0.847733145757753	0	-0.643489962548017	-1.41444157147536	0	0	0	0	0	0	0	0	0
chr2,38483196,38483717	0	0	-0.834135509945829	-0.902531951845545	0	-0.659179655188651	-1.19483709966433	0	0	0	0	0	0	0	0	0
chr12,80046622,80046970	0	0	-0.598995913785076	-0.856415970659942	0	-0.734674028363713	-1.345659857237	0	0	0	0	0	0	0	0	0
chr3,9020246,9020696	0	0	-0.639641232887009	-1.10119953465677	0	-0.817676127102383	-1.39513591605779	0	0	0	0	0	0	0	0	0
chr5,137828737,137829075	0	0	-1.09891128420659	-1.14225619293802	0	-1.13295503961093	-1.69672529286979	0	0	0	0	0	0	0	0	0
chr14,103007751,103008196	0	0	-0.632349154361413	-0.775375654634874	0	-0.851864818771427	-1.34949749394214	0	0	0	0	0	0	-0.735157760098155	0	0
chr16,85152478,85152856	-0.721601111292542	0	-0.661926070916631	-0.739091583208019	0	-0.845123802058835	-1.23293978426598	0	0	0	0	0	0	0	0	0
chr11,115189382,115189600	0	0	-0.725824675239352	-1.02893869376587	0	-0.689032155007696	-1.77461443511302	0	0	0	0	0	0	0	-0.590763488885176	0
chr13,40968635,40969063	0	0	-0.88728650316482	-0.998073920787058	0	-0.792156646261321	-1.53953444686752	0	0	0	0	0	0	0	0	0
chr9,44551178,44551508	0	0	-0.908021999330083	-0.947622372974003	0	0	-1.63818924937473	0	0	0	0	0	0	0	0	0
chr16,91398112,91398498	0	0	-0.684183835082368	-0.803573256215787	0	-0.987385140464538	-1.4077038406446	0	0	0	0	0	0	0	-0.608727811785766	-0.62001509094633
chr2,46370934,46371374	0	0	-0.734141866001668	-1.06849171089359	0	-1.23666119653428	-1.40842399220548	0	0	0	0	0	0	0	0	-0.692682788589827
chr6,39278336,39278733	0	0	-0.861186847980213	-1.04910611040916	0	-0.908895846229025	-1.07788622071891	0	0	0	0	0	-0.614014286731439	0	0	-0.637197848287685
chr3,88618201,88618432	0	0	-0.880022100519751	-0.821598508462098	0	-0.644903658907798	-1.21146837074645	0	0	0	0	0	0	0	0	-0.716508976977337
chr5,113945211,113945540	0	0	-0.711192936791838	-0.743398900437878	0	-0.616379512860592	-1.14112078227338	0	0	0	0	0	0	0	0	0
chr6,97820479,97820984	0	0	-0.903620075614612	-0.868759671666539	0	-0.87065058900897	-1.14354339275802	0	0	0	0	0	0	0	0	0
chr13,9878526,9879062	0	0.730051106992351	-0.763301112110549	-0.70613278163434	0	-1.1898437720428	-1.06158180207945	0	0	0	0	0	0	0	0	0
chr5,113644499,113644811	0	0	-0.685784574665952	-0.718481314580167	0	-1.08296801476009	-0.730482946950689	0	0	0	0	0	0	0	0	0
chr13,110903092,110903600	0	0	-0.721307390315916	-0.946019514155202	0	-0.957160407796375	-0.662680912618134	0	0	0	0	0	0	0	0	0
chr7,16244113,16244410	0	0	-0.751046368569347	-0.719510251076453	0	-0.809438932204646	-0.687364044822941	0	0	0	0	0	0	0	0	0
chr11,120041653,120042217	0	0	-0.605195867996502	-0.952998829106473	0	-1.22608061946812	-0.801089972370315	0	0	0	0	0	0	0	0	0
chr15,84235659,84236029	0	0	-0.590937891662467	-1.00855814255909	0	-0.957806381381008	-0.783348078845781	0	0	0	0	0	0	0	0	0
chr7,142397990,142398554	0	0	-0.767715631283899	-0.949209847416626	0	-1.00277255362876	-0.72897512126986	0	0	0	0	0	0	0	0	0
chr15,75856859,75857708	0	0	-0.664918961020389	-0.695702445279516	0	-0.988650426168966	-0.738864745670639	0	0	0	0	0	0	0	0	0
chr14,102827835,102828242	0	0	-0.646249869592643	-0.58629631766937	0	-0.923331253010219	-0.663873221023469	0	0	0	0	0	0	0	0	0
chr9,42128016,42128368	0	0	-0.619793985344976	-0.74565056265012	0	-1.00545819915729	-0.845439243954363	0	0	0	0	0	0	0	0	0
chr11,71251342,71251767	0	0	-0.654094623279214	-0.871088769891663	0	-1.18430430480655	-0.72241326368525	0	0	0	0	0	0	0	0	0
chr9,40581783,40582281	0	0	-0.683835838046823	-0.882665193194039	0	-1.18663158269668	-0.792433065422857	0	0	0	0	0	0	0	0	0
chr2,129360114,129360509	0	0	-0.664457188865741	-0.777547320295945	0	0	-0.861888476165064	0	0	0	0	0	0	0	0	0
chr5,138683014,138683385	0	0	-0.923738207480976	-0.785185523682913	0.782858903741063	0	0	0	0	0	0	0	0	0	0	0
chr19,40637577,40637974	-0.626824447388987	0	-0.618515328671994	-0.820480012763439	0	-0.736428972682132	-1.18462564456118	0	0	0	0	0	0	0	0	0
chr5,43185543,43185841	0	0	-0.700054555116512	-0.67601031305521	0	0	0	0	0	0	0	0	0	0	0	0
chr19,6297659,6298008	0	0	-0.660054130182277	-0.725510260564705	0	-0.672078661355136	-1.39806033911713	0	0	0	0	0	0	0	0	0
chr2,178414201,178415047	0	0	-0.726215638701582	-0.638747797082212	0	0	-1.2650945310388	0	0	0	0	0	0	0	0	0
chr15,66816502,66816806	0	0	-0.744266084641209	-0.645209705077856	0	-0.879172456641587	-1.00564629010062	0	0	0	0	0	0	0	0	0
chr11,115004053,115004578	0	0	-0.667516778288779	-0.807367174714261	0	-0.827331124279513	-1.1315010594365	0	0	0	0	0	0	0	0	0
chr7,140998969,140999673	0	0	-0.726245517907274	-0.85188454015458	0	-0.91714921217587	-1.14468752145964	0	0	0	0	0	0	0	0	0
chr16,91354602,91354931	0	0	-0.611231264546767	-0.696166551475439	0	-0.620459902047891	-0.994616084380765	0	0	0	0	0	0	0	0	0
chr19,10694000,10694275	0	0	-0.71974078534651	-0.8783332620917	0	-0.707328188034816	-0.991885467370798	0	0	0	0	0	0	0	0	0
chr9,90274575,90274840	0	0	-0.758529767129439	-0.891624517930577	0	-0.785766552042138	-1.12553378626887	0	0	0	0	0	0	0	0	0
chr5,139405048,139405377	0	0	-0.58801603988759	-0.749229794692261	0	-0.667318069748275	-1.20978756133235	0	0	0	0	0	0	0	0	0
chr13,9873405,9873802	0	0	-0.68565187133278	-0.703884095143729	0	-0.96793196274971	-1.11548211410122	0	0	0	0	0	0	0	0	0
chr4,132494416,132494915	0	0	-0.605229228225348	-0.747488062264975	0	-0.798174569923211	-1.0537446151725	0	0	0	0	0	0	0	0	0
chr2,167815184,167815496	0	0	-0.982915880935724	-0.842745195318986	0	-0.907502544436217	-0.930622534699335	0	0	0	0	0	0	0	0	0
chr5,33009745,33010134	0	0	-1.05167113581603	-0.832537238870539	0	-0.791434477121056	-1.04343294245147	0	0	0	0	0	0	0	0	0
chr8,120112661,120112919	0	0	-0.946627541619899	-0.892376580807071	0	-0.884382219578009	-1.02787739282089	0	0	0	0	0	0	0	0	0
chr4,150202744,150203053	0	0	-0.609441513619409	-0.75222384709188	0	-0.884961116845699	-0.718699937301758	0	0	0	0	0	0	0	0	0
chr5,140642114,140642421	0	0	-0.613029708611862	-0.843605393429429	0	-0.872914836285827	0	0	0	0	0	0	0	0	0	0
chr16,32189089,32189441	0	0	-0.62177920275138	-1.17494201424942	0	-0.663641924754175	-0.610220026867821	0	0	0	0	0	0	0	0	0
chr15,6555548,6555856	0	0	-0.598485314480438	-0.956580262530255	0	-0.599902834402409	-0.859747114904342	0	0	0	0	0	0	0	0	0
chr4,122848043,122848588	0	0	-0.727451274724186	-0.926126607110891	0	-0.812522403702678	-0.880375537480036	0	0	0	0	0	0	0	0	-0.623459099422718
chr3,27617752,27618115	0	0	-0.592511159495208	-0.611853259237437	0	0	-0.729590623557909	0	0	0	0	0	0	0	0	-0.797268477852275
chr7,139295708,139296052	0	0	-0.834310312863148	-0.82030312260439	0	0	0	0	0	0	0	0	0	0	0	0
chr17,71310484,71311110	0	0	-0.685635758705297	-0.720711593224073	0	0	0	0	0	0	0	0	0	0	0	-0.638173079265625
chr4,135069869,135070154	0	0	-0.629523825507498	-0.843934640012166	0	0	-0.600552411421564	0	0	0	0	0	0	0	0	0
chr14,30620072,30620553	0	0	-0.752031414930388	-0.629694737508596	0	0	-0.754031671885988	0	0	0	0	0	0	0	0	0
chr14,75195568,75195906	0	0	-0.937260497051561	-0.883716177831528	0	0	-0.862528260794242	0	0	0	0	0	0	0	0	0
chr17,80138826,80139122	0	0	-0.83263957384258	-0.771429707528963	0	0	0	0	0	0	0	0	0	0	0	0
chr13,5804383,5804959	0	0	-0.598418943809642	-0.853265349249724	0	-0.79683306487813	0	0	0	0	0	0	0	0	-0.680156271618379	0
chr15,59598937,59599217	0	0	-0.611617764434466	-0.822205796718766	0	-0.682546945697095	0	0	0	0	0	0	0	0	0	0
chr14,69089111,69089676	0	0	-0.637947995348014	-0.769267698214009	0	0	0	0	0	0	0	0	0	0	0	0
chr15,39770934,39771234	0	0	-0.59203752090022	-0.649765074017585	0	0	-0.753267937482713	0	0	0	0	0	0	0	0	0
chr7,126144421,126144710	0	0	-0.672938136378865	-0.60936722981708	0	-0.666058156382277	0	0	0	0	0	0	0	0	0	0
