As_blood	As_liver	DEHP_blood	DEHP_liver	Lead_blood	Lead_liver	LOW_blood	LOW_liver	PM25_blood	PM25_liver	TBT_blood	TBT_liver	TCDD_blood	TCDD_liver	UP_blood	UP_liver	Type
chr7,39655600,39655800	0	0	0	0	0	0	0	0	0	0	0.226585447	0.110080298	0	0	0	0	TBT
chr10,84955200,84955400.1	0	0	0	0	0	0	0.188208361	0.139852138	0	-0.118794945	-0.247227472	-0.270455862	0	0	0	0	TBT
chr14,52148600,52148800	0	0	0	0	0	0	0	0	0	0	-0.164596985	-0.147516063	0	0	0	0	TBT
chr3,104516800,104517000	0	0	0	0	0	0	0	0	0	0	-0.163282347	-0.123972579	0	0	0	0	TBT
chr15,77223800,77224000	0	0	0	0	0	0	0	0	0	0	-0.175450383	0.133261839	0	0	0	0	TBT
chr19,53782000,53782200	0	0	0	0	0	0	0	0	0	0	-0.122747663	0.10508587	0	0	0	0	TBT
chr11,116389400,116389600	0	-0.172676233	0	0	0	0	0	0	0	0	0	0	-0.149704126	-0.126064115	0	-0.123137304	TCDD
chr15,11213400,11213600.1	0	0	0	0	0	0	-0.156897991	-0.161692573	0	0.105301136	0	0	-0.232014826	-0.173976614	0	-0.107828989	TCDD
chr19,5406000,5406800	0	0	0	0	0	0	0	0	0	0	0	0	0.668518332	0.262501421	0	0	TCDD
chr6,30735200,30736000	0	0	0	0	0	0	0	0	0	0	0	0	0.497867387	0.114909638	0	0	TCDD
chr4,134160200,134160400.1	0	0	0	0	0	0	0	-0.146659515	-0.186950799	0	0.136470328	0.266830526	0.229620941	0.128022276	0	0	TCDD
chr6,30737800,30738000	0	0	0	0	0	0	0	0	0	0	0	0	0.140807338	0.361506303	0	0	TCDD
chrY,90744800,90745000	0	0	0	0	0	0	0	0	0	0	0	0	0.129147806	0.231603267	0	0	TCDD
chr19,5407000,5407400	0	0	0	0	0	0	0	0	0	0	0	0	0.320812786	0.263012374	0	0	TCDD
chr6,30736800,30737200	0	0	0	0	0	0	0	0	0	0	0	0	0.327404868	0.114141875	0	0	TCDD
chr10,4711800,4713000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.044956398	-0.14597673	UP
chr15,61708200,61708400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234759548	-0.116948202	UP
chr2,32656000,32656200	0	0	0	0	0	0	0.104256777	0	0	0	0	0	0	0	0.101567055	-0.112648731	UP
chr11,11750400,11750600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101977239	-0.114389368	UP
chr10,93736400,93736600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142802208	-0.11796008	UP
chr18,53177600,53177800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157040008	-0.120533126	UP
chr11,108268000,108268200	0	0	0.117925992	0	0	0	0.12433798	0	0	0	0	0	0	-0.104123889	0.145779396	0.104420164	UP
chr17,81383600,81383800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138602074	0.149256752	UP
chr18,64895000,64895200.1	0	0	0	0	0	0	0	0	0	0	0.103869511	0.105129564	0	0	0.134606053	0.107348203	UP
chr4,135416200,135416600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.237297959	-0.117164937	UP
chr13,101547800,101548000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129924329	-0.12508703	UP
chr1,71757400,71757600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109835819	-0.123852458	UP
chr5,125408200,125408400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.145431786	0.165932497	UP
chr1,170545400,170545600	0	0.13347032	0	0	0	0	-0.103376245	0	0	0	0	0	0	0	-0.104002162	0.119959937	UP
chr15,59679200,59679400	0	0	0	0	0	0	-0.14168263	0	0	0	0	0	0	0	-0.121372088	0.108542482	UP
