As_blood	As_liver	DEHP_blood	DEHP_liver	Lead_blood	Lead_liver	LOW_blood	LOW_liver	PM25_blood	PM25_liver	TBT_blood	TBT_liver	TCDD_blood	TCDD_liver	UP_blood	UP_liver	Type
chr5,146679000,146679200	0	0	0	0	0	0	0.107009344	0	0.132223035	-0.100063903	0	0	0	0	0	0	PM25
chr10,122886200,122886400	0	0	0	0	0	0	0.230313053	0	0.118635573	0.112520202	0	0	0	0	0	0	PM25
chr11,106031800,106032000	0	0	0	0	0	0	0	0	0.233104884	0.103407059	0	0	0	0	0	0	PM25
chr11,106033400,106033600	0	0	0	0	0	0	0	0	0.164521759	0.185644881	0	0	0	0	0	0	PM25
chrX,169986800,169987400.1	0	0	0	0	0	0	0.482959909	0.107765574	-0.422736834	-0.317758208	0	0	0	0	0	0	PM25
chrX,170005200,170005600	0	0	0	0	0	0	0	0	-0.265457336	-0.619066555	0	0	0	0	0	0	PM25
chr1,110569400,110569600	0	0	0	0	0	0	0	0	-0.335373875	-0.287665279	0	0	0	0	0	0	PM25
chr19,36919200,36919800	0	0	0	0	0	0	0	0	-0.400596778	-0.468735604	0	0	0	0	0	0	PM25
chrX,169994000,169994600	0	0	0	0	0	0	0	0	-0.422485869	-0.415363749	0	0	0	0	0	0	PM25
chr10,84955200,84955400	0	0	0	0	0	0	0	0	-0.189700708	-0.249739275	-0.257614958	-0.281853609	0	0	-0.161089958	0	PM25
chr19,37238000,37238400	0	0	0	0	0	0	0	0	-0.248642575	-0.111151789	0	0	0	0	0	0	PM25
chr1,169438000,169438200	0	0	0	0	0	0	0	0	-0.172669	-0.168140619	0	0	0	0	0	0	PM25
chr12,19724600,19724800	0	0	0	0	0	0	0	0	-0.205862896	-0.171183467	0	0	0	0	0	0	PM25
chr4,138327800,138328000	0	0	0	0	0.111849236	0	0	0	-0.119404885	-0.143674164	0	0	0	0	0	0	PM25
chr3,51227400,51227600	0	0	0	0	0	0	0	0	-0.114834563	-0.136949381	0	0	0	0	0	0	PM25
chr3,88451800,88452000	0	0	0	0	0	0	0	0	-0.169541958	-0.118965562	0	0	0	0	0	0	PM25
chr9,35198400,35198600	0	0	0	0	0	0	0.198485998	0	0	0	0.142047398	0.128806629	0	0	0.124694364	0	TBT
chr10,45100400,45100600	0	0	0	0	0	0	0	0	0.112049481	0	0.117685695	0.333799239	0.106105471	0	0	0	TBT
chr17,30158800,30159000	0	0.130167025	0	0	0	0	0	0	0	0	0.103783667	0.157073025	0	0	0	0	TBT
chr16,31048200,31048400	0	0	0	0	0	0	0	0	0	0	0.125365615	0.148896224	0	0	0	0	TBT
chr2,103476600,103476800	0	0	0	0	0	0	0	0	0	0	0.110759927	0.261515854	0	0	0	0	TBT
chr13,47170000,47170200	0	0	0	0	0	0	0	0	0	0	-0.125581792	0.371448696	0	0	-0.10528775	0	TBT
chr15,34489800,34490000	0	0	0	0	0	0	0	0	0	0	-0.162021333	0.381273268	0	0	-0.214057333	0	TBT
chr5,23576400,23576600	0	0	0	0	0	0	0	0	0	0	-0.164711764	0.355698483	0	0	-0.158224597	0	TBT
chr13,23778400,23778600	0	0	0	0	0	0	0	0	0	0	-0.161640396	0.429313309	0	0	0	0	TBT
chr17,73883400,73883800	0	0	0	0	0	0	0	0	0	0	-0.276952911	0.317359749	0	0	0	0	TBT
chr8,13353400,13353800	0	0	0	0	0	0	0	0	0	0	-0.303514817	0.392205382	0	0	0	0	TBT
chr4,144909200,144909600	0	0	0	0	0	0	0	0	0	0	-0.324368095	0.170320738	0	0	0	0	TBT
chr11,75326000,75326400	0	0	0	0	0	0	0	0	0	0	-0.269512885	0.118873173	0	0	0	0	TBT
chr17,12378000,12378400	0	0	0	0	0	0	0	0	0	0	-0.254858929	0.121545676	0	0	0	0	TBT
chr15,91172000,91172400	0	0	0	0	0	0	0	0	0	0	-0.288350108	0.152387429	0	0	0	0	TBT
chr16,24199800,24200200	0	0	0	0	0	0	0	0	0	0	-0.297879009	0.131925822	0	0	0	0	TBT
chr10,95773600,95773800	0	0	0	0	0	0	0	0	0	0	-0.138376827	0.304681656	0	0	0	0	TBT
chr8,114136400,114136600	0	0	0	0	0	0	0	0	0	0	-0.107931771	0.317382128	0	0	0	0	TBT
chr6,129471600,129471800	0	0	0	0	0	0	0	0	0	0	-0.120599344	0.320128901	0	0	0	0	TBT
chr8,11021200,11021400	0	0	0	0	0	0	0	0	0	0	-0.122284624	0.325480341	0	0	0	0	TBT
chr7,126747200,126747400	0	0	0	0	0	0	0	0	0	0	-0.114385715	0.201422243	0	0	0	0	TBT
chr1,184870800,184871000	0	0	0	0	0	0	0	0	0	0	-0.131991033	0.25059322	0	0	0	0	TBT
chr4,59459400,59459600	0	0	0	0	0	0	0	0	0	0	-0.148595639	0.260250349	0	0	0	0	TBT
chr17,53618600,53618800	0	0.128595873	0	0	0	0	0	0	0	-0.16950796	-0.100237263	0.12624244	0	0	0	0	TBT
chr14,55147000,55147200	0	0	0	0	0	0	0	0	0	0	-0.185065371	0.120275945	0	0	0	0	TBT
chr3,108022800,108023000	0	0	0	0	0	0	0	0	0	0	-0.161765504	0.139558925	0	0	0	0	TBT
chr11,97199600,97199800	0	0	0	0	0	0	0	0	0	0	-0.174088096	0.151370259	0	0	0	0	TBT
chr8,13036600,13036800	0	0	0	0	0	0	0	0	0	0	-0.171573058	0.158181242	0	0	0	0	TBT
chr8,33652200,33652400	0	0	0	0	0	0	0	0	0	0	-0.115884789	0.168337472	0	0	0	0	TBT
chr4,141871000,141871200	0	0	0	0	0	0	0	0	0	0	-0.109153819	0.159421232	0	0	0	0	TBT
chr5,66082400,66082600	0	0	0	0	0	0	0	0	0	0	-0.108998364	0.156823671	0	0	0	0	TBT
chr5,125324000,125324200	0	0	0	0	0	0	0	0	0	0	-0.102644247	0.157494863	0	0	0	0	TBT
chr6,146196000,146196200	0	0	0	0	0	0	0	0	0	0	-0.100686053	0.153458715	0	0	0	0	TBT
chr4,63344600,63344800	0	0	0	0	0	0	0	0	0	0	-0.117888302	0.1375213	0	0	0	0	TBT
chr9,57255200,57255400	0	0	0	0	0	0	0	0	0	0	-0.115650602	0.137178868	0	0	0	0	TBT
chr2,58569400,58569600	0	0	0	0	0	0	0	0	0	0	-0.129375292	0.132101304	0	0	0	0	TBT
chr17,86973200,86973400	0	0	0	0	0	0	0	0	0	0	-0.126254104	0.139297499	0	0	0	0	TBT
chr19,32926600,32926800	0	0	0	0	0	0	0	0	0	0	-0.129325833	0.138389959	0	0	0	0	TBT
chr17,72845000,72845200	0	0	0	0	0	0	0	0	0	0	-0.136905658	0.146146383	0	0	0	0	TBT
chr2,158307600,158307800	0	0	0	0	0	0	0	0	0	0	-0.132215271	0.143598542	0	0	0	0	TBT
chr19,46792000,46792200	0	0	0	0	0	0	0	0	0	0	-0.120683566	0.150878729	0	0	0	0	TBT
chr6,142803200,142803400	0	0	0	0	0	0	0	0	0	0	-0.124830167	0.155530629	0	0	0	0	TBT
chr1,160373400,160373600	0	0	0	0	0	0	0	0	0	0	-0.109502788	0.106111449	0	0	0	0	TBT
chr10,63410600,63410800	0	0	0	0	0	0	0	0	0	0	-0.103048343	0.115955675	0	0	0	0	TBT
chr1,184808600,184808800	0	0	0	0	0	0	0	0	0	0	-0.106452441	0.120255496	0	0	0	0	TBT
chr1,62732200,62732400	0	0	0	0	0	0	0	0	0	0	-0.128834762	0.108286413	0	0	0	0	TBT
chr2,130933000,130933200	0	0	0	0	0	0	0	0	0	0	-0.131806726	0.114729289	0	0	0	0	TBT
chr1,179046400,179046600	0	0	0	0	0	0	0	0	0	0	-0.13425816	0.127166991	0	0	0	0	TBT
chr13,119708800,119709000	0	0	0	0	0	0	0	0	0	0	-0.133909313	0.122682076	0	0	0	0	TBT
chr17,5262000,5262200	0	0	0	0	0	0	0	0	0	0	-0.139864785	0.11354463	0	0	0	0	TBT
chr8,41019600,41019800	0	0	0	0	0	0	0	0	0	0	-0.141764375	0.118837887	0	0	0	0	TBT
chr5,121251800,121252000	0	0	0	0	0	0	0	0	0	0	-0.147918917	0.116972394	0	0	0	0	TBT
chr18,64533000,64533200	0	0	0	0	0	0	0	0	0	0	-0.145459698	0.12284664	0	0	0	0	TBT
chr6,100505600,100505800	0	0	0	0	0	0	0	0	0	0	-0.149364446	0.121869153	0	0	0	0	TBT
chr14,24941200,24941400	0	0.169756708	0	0	0	0	0	0	0	0	-0.128608181	0.165251041	0	0	-0.108120347	0	TBT
chr8,3240800,3241000	0	0.107985004	0	0	0	0	0	0	0	0	-0.109655083	0.123448115	0	0	-0.146112306	0	TBT
chr8,41047000,41047200	0	0.141108809	0	0	0	0	0	0	0	0	-0.11123181	0.116205108	0	0	-0.138799333	0	TBT
chr6,87027000,87027200	0	0	0	0	0	0	0	0	0	0	-0.116017819	0.132485849	0	0	-0.195931719	0	TBT
chr10,127634200,127634400	0	0	0	0	0	0	0	0	0	0	-0.10047325	0.188637347	0	0	-0.182056625	0	TBT
chr2,131336600,131336800	0	0	0	0	0	0	0	0	0	0	-0.113320319	0.16945634	0	0	-0.182844875	0	TBT
chr8,41057600,41057800	0	0	0	0	0	0	0	0	0	0	-0.125438272	0.117059395	0	0	-0.130714306	0	TBT
chr16,78296200,78296400	0	0	0	0	0	0	0	0	0	0	-0.110631617	0.12431159	0	0	-0.133405958	0	TBT
chr9,57827200,57827400	0	0	0	0	0	0	0	0	0	0	-0.109472242	0.114636835	0	0	-0.129699361	0	TBT
chr10,125321600,125321800	0	0	0	0	0	0	0	0	0	0	-0.110771625	0.104943493	0	0	-0.152152458	0	TBT
chrX,103514800,103515000	0	0	0	0	0	0	0	0	0	0	-0.12171575	0.121715578	0	0	-0.149227472	0	TBT
chr17,46051400,46051600	0	0	0	0	0	0	0	0	0	0	-0.148600919	0.173082747	0	0	-0.157045645	0	TBT
chr3,69550200,69550400	0	0	0	0	0	0	0	0	0	0	-0.149894208	0.126376834	0	0	-0.156937292	0	TBT
chr16,55782000,55782200	0	0	0	0	0	0	0	0	0	0	-0.154415186	0.147209877	0	0	-0.126571853	0	TBT
chr6,137784000,137784200	0	0	0	0	0	0	0	0	0	0	-0.166265	0.137383011	0	0	-0.134574333	0	TBT
chr8,46483000,46483200	0	0	0	0	0	0	0	0	0	0	-0.163956885	0.138242176	0	0	-0.138978385	0	TBT
chr16,94347200,94347400	0	0	0	0	0	0	0	0	0	0	-0.112048615	0.250706936	0	0	-0.11226849	0	TBT
chr5,65357000,65357200	0	0	0	0	0	0	0	0	0	0	-0.196188467	0.203132033	0	0	-0.126194634	0	TBT
chr7,126168600,126168800	0	0	0	0	0	0	0	0	0	0	-0.173110464	0.210730988	0	0	-0.121709908	0	TBT
chr6,32028800,32029000	0	0	0	0	0	0	0	0	0	0	-0.145165204	-0.167813072	0	0	0.276364313	0	TBT
chr4,128735400,128735600	0	0	0	0	0	0	0	0	0	0	0.141786497	-0.11152884	0	0	0.111930547	0	TBT
chr5,105541200,105541400	0	0	0	0	0	0	0	0	0	0	0.160936892	-0.113081598	0	0	0.118576982	0	TBT
chr2,172400000,172400200	0	0	0	0	0	0	0	0	0	0	0.113762963	-0.141734047	0	0	0	0	TBT
chr2,68466800,68467000	0	0	0	0	0	0	0	0	0	0	0.112502135	-0.120493681	0	0	0	0	TBT
chr10,84955200,84955400.1	0	0	0	0	0	0	0	0	-0.189700708	-0.249739275	-0.257614958	-0.281853609	0	0	-0.161089958	0	TBT
chr18,39800400,39800600	0	0	0	0	0	0	0	-0.124282157	0	0	-0.130264458	-0.133575491	0	0	-0.205295342	0	TBT
chr1,191122800,191123000	0	0	0	0	0	0	0	0	0	0	-0.183940729	-0.166262569	0	0	-0.151783979	0	TBT
chr19,6297600,6297800	0	0	0	0	0	0	0	0	0	0	-0.147356066	-0.152170648	0	0	-0.127813142	0	TBT
chr10,59236600,59236800	0	0	0	0	0	0	0	0	0	0	-0.112965743	-0.117509251	0	0	-0.172636451	0	TBT
chr2,119242400,119242600	0	0	0	0	0	0	0	0	0	0	-0.113607083	-0.133017705	0	0	-0.147387208	0	TBT
chr7,58831000,58831200	0	0	0	0	0	0	0	0	0	0	-0.15286991	-0.10446754	0	0	-0.132576688	0	TBT
chr19,55925400,55925600	0	0	0	0	0	0	0	0	0	0	-0.124718258	-0.101640352	0	0	-0.100066292	0	TBT
chr14,118913800,118914000	0	0	0	0	0	0	0	0	0	0	-0.119967656	-0.112929882	0	0	-0.123934658	0	TBT
chr16,14352600,14352800	0	0	0	0	0	0	0	0	0	0	-0.106841802	-0.106942343	0	0	-0.116721219	0	TBT
chr3,69009400,69009600	0	0	0	0	0	0	0	0	0	0	-0.11509249	-0.102418891	0	0	-0.117468615	0	TBT
chr16,30607400,30607600	0	0	0	0	0	0	0	0	0	0	-0.152093729	-0.33300074	0	0	0	0	TBT
chr6,144446000,144446200	0	0	0	0	0	0	0	0	0	0	-0.169215958	-0.101431762	0	0	0	0	TBT
chr5,144252400,144252600	0	0	0	0	0	0	0	0	0	0	-0.10346262	-0.162193812	0	0	0	0	TBT
chr5,53454800,53455000	0	0	0	0	0	0	0	0	0	0	-0.121836203	-0.148259508	0	0	0	0	TBT
chr4,132476200,132476400	0	0	0	0	0	0	0	0	0	0	-0.133071514	-0.153051125	0	0	0	0	TBT
chr4,58568400,58568600	0	0	0	0	0	0	0	0	0	0	-0.131897554	-0.162370499	0	0	0	0	TBT
chr7,79249000,79249200	0	0	0	0	0	0	0	0	0	0	-0.115487156	-0.100515436	0	0	0	0	TBT
chr10,119055200,119055400	0	0	0	0	0	0	0	0	0	0	-0.109902133	-0.112046199	0	0	0	0	TBT
chr2,135712000,135712200	0	0	0	0	0	0	0	0	0	0	-0.111213261	-0.109346976	0	0	0	0	TBT
chr10,18059800,18060000	0	0	0	0	0	0	0	0	0	0	-0.101275827	-0.111870484	0	0	0	0	TBT
chr14,14003000,14003200	0	0	0	0	0	0	0	0	0	0	-0.10487826	-0.107514069	0	0	0	0	TBT
chr3,104516800,104517000	0	0	0	0	0	0	0	0	0	0	-0.102362542	-0.103229379	0	0	0	0	TBT
chr1,180849800,180850000	0	0	0	0	0	0	0	0	0	0	-0.121376792	-0.110540573	0	0	0	0	TBT
chr17,26436200,26436400	0	0	0	0	0	0	0	0	0	0	-0.121525085	-0.113085821	0	0	0	0	TBT
chr15,53399200,53399400	0	0	0	0	0	0	0	0	0	0	-0.131363604	-0.11883541	0	0	0	0	TBT
chr5,107292600,107292800	0	0	0	0	0	0	0	0	0	0	-0.133986542	-0.113921659	0	0	0	0	TBT
chr10,67439400,67439600	0	0	0	0	0	0	0	0	0	0	-0.132232332	-0.13352498	0	0	0	0	TBT
chr3,88618200,88618400	0	0	0	0	0	0	0	0	0	0	-0.13695051	-0.137492492	0	0	0	0	TBT
chr18,69439600,69439800	0	0	0	0	0	0	0	0	0	0	-0.112045149	-0.1327133	0	0	0	0	TBT
chr1,94083800,94084000	0	0	0	0	0	0	0	0	0	0	-0.123160729	-0.124446893	0	0	0	0	TBT
chr10,122983200,122983400	0	0	0	0	0	0	0	0	0	0	-0.128908263	-0.129925395	0	0	0	0	TBT
chr12,91733400,91733600	0	0	0	0	0	0	0	0	0	0	-0.128660931	-0.127504221	0	0	0	0	TBT
chr15,39173000,39173200	0	0	0	0.189063948	0	0.20648025	0	-0.202051113	0	0	0	0	-0.138098193	-0.171441363	0	-0.166501196	TCDD
chr4,134160200,134160400.1	0	0	0.219161385	0.104457643	0	0	0	0	0.102023643	0	0	0	-0.122694831	-0.123527082	0	0	TCDD
chr11,86143000,86143200	0	0	0	0	0	0	0	0	0	0	0	0	-0.157611825	-0.123543569	0	0	TCDD
chr15,45257400,45257600	0	0	0	0	0	0	0	0	0	0	0	0	-0.13152735	-0.154307391	0	0	TCDD
chr10,4711400,4712400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.121693811	-0.132072103	UP
chr5,129006000,129006600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.600584063	-0.161998378	UP
chr11,100525000,100525200	0	0	0	0	0	0	0	-0.110101542	0	0	-0.155189991	0	0	0	-0.156638821	-0.359850761	UP
chr19,34488800,34489000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113698042	-0.42349925	UP
chr10,4712800,4713000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116221596	-0.276552405	UP
chr9,40203400,40203600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109485847	-0.280287284	UP
chr10,77550000,77550200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194814517	0.112038507	UP
chr9,63990000,63990200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127980804	0.135924002	UP
chr2,116069800,116070000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124829167	0.112671518	UP
chr5,139202200,139202400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119049838	0.111290005	UP
chr5,113889000,113889600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.393855465	-0.101978077	UP
chr7,80629600,80630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.325803866	-0.107061759	UP
chr9,104360200,104360600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.297693708	-0.176930721	UP
chr12,59133600,59134000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.229890226	-0.105083034	UP
chrX,50373000,50373400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.230100105	-0.111912555	UP
chr19,5945000,5945400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.255488532	-0.119229805	UP
chr5,110836200,110836600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.257564362	-0.104924785	UP
chr11,106675600,106675800	0	0	0	0	0	0	0	-0.143501654	0	0	0	0	0	0	-0.116002906	-0.124643895	UP
chr2,96116600,96116800	0	0	0	0	0	0	0	-0.19726798	0	0	0	0	0	0	-0.189671171	-0.186290103	UP
chr11,106661000,106661200	0	0	0	0	0	0	0	0	0	0	0	-0.123131802	0	0	-0.107282384	-0.129791255	UP
chr9,89066600,89066800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.104699223	-0.16994139	UP
chr15,94544800,94545000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.161985333	-0.116964241	UP
chr12,8781200,8781400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142676531	-0.106294149	UP
chr1,8410800,8411000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.138238634	-0.105641498	UP
chr19,40258600,40258800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114147924	-0.102462981	UP
chr11,3676600,3676800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125611246	-0.115354728	UP
chr13,119882000,119882200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.130822429	-0.106123028	UP
chr6,4039000,4039200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131196833	-0.125345683	UP
chr1,153744200,153744400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114356705	-0.115887468	UP
chr15,6387800,6388000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.117844525	-0.123233042	UP
